Species	Ks
N03_N03	0.00365923
N03_N03	0.033144400000000004
N03_N03	0.0716784
N03_N03	0.0112299
N03_N03	0.023141
N03_N03	0.08201
N03_N03	
N03_N03	0.112427
N03_N03	0.0530105
N03_N03	0.0114336
N03_N03	0.0112443
N03_N03	0.09344569999999999
N03_N03	0.0423756
N03_N03	0.0168078
N03_N03	0.10121000000000001
N03_N03	0.114402
N03_N03	0.07207960000000001
N03_N03	
N03_N03	0.032954199999999996
N03_N03	0.00423686
N03_N03	0.11084400000000001
N03_N03	
N03_N03	0.0159923
N03_N03	0.023586000000000003
N03_N03	0.032977099999999995
N03_N03	0.046086400000000007
N03_N03	0.0282874
N03_N03	0.105244
N03_N03	0.00734668
N03_N03	0.04704880000000001
N03_N03	0.019094299999999998
N03_N03	0.0147983
N03_N03	0.09366369999999999
N03_N03	0.0232217
N03_N03	0.159979
N03_N03	
N03_N03	
N03_N03	0.0978842
N03_N03	0.00754267
N03_N03	0.03379190000000001
N03_N03	
N03_N03	0.06313930000000001
N03_N03	0.06054249999999999
N03_N03	0.035307599999999995
N03_N03	0.0927639
N03_N03	0.0728234
N03_N03	
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.125079
N03_N03	0.00934623
N03_N03	0.043206699999999994
N03_N03	
N03_N03	
N03_N03	0.0984337
N03_N03	
N03_N03	0.0285788
N03_N03	0.0415221
N03_N03	0.0394846
N03_N03	0.0634977
N03_N03	0.127218
N03_N03	0.0173443
N03_N03	0.0975458
N03_N03	0.0543694
N03_N03	0.6303300000000001
N03_N03	
N03_N03	0.00552242
N03_N03	
N03_N03	
N03_N03	0.00551272
N03_N03	0.0381409
N03_N03	0.0554836
N03_N03	0.0812997
N03_N03	0.0105679
N03_N03	
N03_N03	
N03_N03	0.386579
N03_N03	
N03_N03	0.08375650000000001
N03_N03	0.040310900000000004
N03_N03	0.0125202
N03_N03	0.0841301
N03_N03	0.0063416
N03_N03	0.11721199999999998
N03_N03	0.0113523
