stock_code,revenue,s_fa_eps_basic,du_profit,plus_net_invest_inc,net_cash_flows_oper_act,net_cash_flows_inv_act,net_roe,total_roe,RSI,VOL,WILLR,y,date
000858.SZ,13255639040,1.835000038,9055087616,10147483,10562390016,-101657344,13.75749969,11.32870007,41.8169662,0.008466375,-65.28776978,0.181018799,20171207
000876.SZ,341478784,0.460000008,2919073280,14737100,2058748928,380898336,9.412400246,6.356599808,47.59633621,0.007554231,-69.09090909,-0.023560209,20171207
000895.SZ,38362820608,0.954999983,4308803584,14577501,3938869760,1259351808,23.45770073,15.13220024,35.0159637,0.022472598,-79.60784314,0.05553336,20171207
000898.SZ,25286000640,0.453999996,4207000064,210000000,3339000064,-220000000,6.885300159,3.740099907,41.03744334,0.007152334,-92.77108434,-0.012598425,20171207
000938.SZ,9267794944,1.080000043,2296579328,-502331.0313,533947360,-17044209664,4.5625,4.735799789,45.41783126,0.004847091,-94.10729991,0.093263425,20171207
000959.SZ,12753733632,0.333200008,4271195136,47887148,2935534848,-2856222464,6.896299839,1.905400038,40.86232649,0.002026971,-97.2972973,-0.049019608,20171207
000961.SZ,19206961152,0.108900003,960059072,0,-2261120512,-1808362880,2.935899973,0.360900015,43.5233582,0.003333719,-90,0.035117057,20171207
000963.SZ,11971210240,1.531900048,1943972224,0,463832544,-353733760,18.35969925,10.34119987,32.98171239,0.002944469,-84.66453674,0.074794466,20171207
000983.SZ,8583583744,0.435900003,2914103296,32955700,1037259520,-1502489344,7.557799816,2.763000011,48.24933652,0.01415871,-59.22330097,0.019088017,20171207
001979.SZ,36732006400,0.469999999,6858701824,111631904,-4613691904,-16879822,6.645199776,1.666800022,47.07246807,0.003360772,-98.92473118,0.037817396,20171207
002007.SZ,1406280704,0.665600002,710306112,-8361428.5,218275248,-87424832,13.86559963,12.67329979,45.01162334,0.007983518,-67.48971193,-0.052465897,20171207
002008.SZ,4988820992,1.409999967,1786832000,9476880,73411176,-895083648,21.78660011,11.62160015,44.86681164,0.02604155,-72.14953271,0.0243309,20171207
002024.SZ,1.04E+11,0.07,1054668032,-106692000,-884123008,-30669156352,0.83890003,0.416399986,27.2259338,0.007855585,-29.16666667,-0.002457002,20171207
002027.SZ,7542151680,0.319999993,4602927616,0,2957483008,-571897024,47.20949936,31.52190018,52.60677067,0.003908604,-25.32467532,0.059055118,20171207
002044.SZ,1882610176,0.090000004,417233152,-2864096.25,-7890483.5,-864598912,6.220200062,3.625799894,45.55719108,0.004086489,-72.72727273,0.103430353,20171207
002065.SZ,3591708160,0.286799997,1020899904,-606392.125,-1090976128,149619280,9.861000061,6.72510004,35.18368712,0.007931147,-70.2970297,-0.076243094,20171207
002074.SZ,3422776576,0.730000019,787514752,-324033.2813,67969472,-1452558080,14.24180031,5.568900108,20.77406325,0.008853515,-96.21993127,0.033914272,20171207
002081.SZ,14882556928,0.54369998,1819955840,0,284228672,409314848,13.07849979,5.312799931,59.92912505,0.014525646,-40.29850746,0.009427609,20171207
002142.SZ,17939820544,1.450000048,0,0,85443043328,-56292569088,13.66300011,0.80339998,46.41979316,0.005507899,-96,0.041860465,20171207
002146.SZ,18711304192,0.639999986,4163879936,-4848514.5,-7602021376,-1387995008,11.30370045,1.871299982,37.47088179,0.007121088,-67.74193548,0.033838973,20171207
002153.SZ,1646864384,0.25999999,292306464,-15094555,211362832,156556656,5.383999825,4.564400196,49.07166853,0.028506984,-80.17057569,0.020942408,20171207
002174.SZ,1749859456,0.529999971,581453120,0,371103104,-748524864,14.49250031,8.565199852,43.1537888,0.010712526,-16.73469388,0.036096257,20171207
002202.SZ,16964752384,0.630699992,3218476800,95045736,-1066826496,-5119460352,10.5941,3.562000036,57.75359214,0.011881311,-59.39393939,0.112276373,20171207
002230.SZ,2141283200,0.119999997,195624224,-1243365.375,-350092896,-485853024,2.041300058,1.523100019,47.89030681,0.043915414,-96,-0.024852845,20171207
002236.SZ,7968634368,0.5,1678452096,-10234574,-793075264,-76617760,15.15629959,8.430299759,35.3766766,0.013924852,-71.9665272,-0.140656668,20171207
002241.SZ,12604865536,0.439999998,1947128192,1950026.125,404322176,-2820299008,9.723899841,5.586599827,32.03616225,0.018035823,-88.74598071,-0.072887907,20171207
002252.SZ,1616763904,0.188999996,1141442304,0,482766720,-506758528,7.493700027,6.84649992,43.22288958,0.000528344,-55.55555556,-0.004545455,20171207
002292.SZ,2501635072,0.2412,430409024,-7572505,318435072,-1369359232,6.304900169,3.621000051,37.76295921,0.019782363,-74.07407407,0.014015417,20171207
002294.SZ,2829291520,1.049999952,1280694784,0,1115823488,-168725296,19.13820076,16.60820007,51.42090862,0.005784638,-28.18627451,0.175765646,20171207
002304.SZ,14667079680,3.700000048,7419068928,-3239458,5510458368,-1342502912,19.60569954,14.22529984,42.08650139,0.005001707,-58.90538033,0.062816901,20171207
002310.SZ,5012247552,0.319999993,1381948928,-2381683.5,215137824,-1280113536,8.67440033,3.404099941,49.60623615,0.013153779,-32.35294118,-0.021245775,20171207
002352.SZ,40449310720,0.860000014,5072505344,-106338960,4241115136,-2115358080,11.60459995,7.378399849,16.89130345,0.000981841,-89.03394256,0.02932193,20171207
